aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,dois,ecs,repacxns,annotation
445,2,IkB Signaling,NIH Molecular Libraries Screening Centers Network [MLSCN]_|_NIH Chemical Genomics Center [NCGC]_|__|_NCGC Assay Overview:_|_Nuclear factor kappa-B (NF-kappa-B) plays an important role in normal B cell development and survival. Diffuse large B cell lymphoma (DLBCL) is the most commonly observed type of non-Hodgkin's lymphoma. Gene expression analysis has identified an activated B cell-like subtype of DLBCL (ABC-DLBCL) which expresses known NF-kappa-B target genes. In ABC-DLBCL cell lines this is due to high ,2,National Center for Advancing Translational Sciences (NCATS),ikb-signaling,20070412,"11,13,51,66,108,119,138,174,177,178,180,196,199,227,239,240,241,243,244,248,249,261,263,286,289,299,300,305,311,323,335,339,370,379,398,403,447,460,500,525,527,535,546,547,564,612,650,660,681,700,701,702,713,750,753,774,785,787,795,864,887,896,903,904,912,931,938,949,957,967,978,991,992,995,996,1004,1017,1023,1030,1045,1046,1049,1052,1054,1057,1066,1102,1103,1123,1140,1150,1176,1183,1214,1309,1316,1317,1318,1328,1329,1330,1331,1337,1340,1342,1346,1348,1354,1355,1359,1365,1366,1367,1370,1390,1433,1449,1456,1","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842132,842133,842134,842135,842136,842137,842138,842139,842140,842141,842142,842143,842144,842145,842146,842147,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842158,842159,842160,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842175,842176,842177,842178,842179,842180,842181,842182,842183,842184,842185,842186,842187,842188,842189,842190,842191,842192,842193,8",4792,NULL,NP_065390,Governmental Organizations|NIH Initiatives,NULL,0,NULL,NULL,P25963,NULL
901,2,qHTS Assay for Identifying the Cell-Membrane Permeable IMPase Inhibitors,"NCGC IMPase Assay Overview_|__|_Lithium has been widely used for the treatment of bipolar disorder. But lithium has a narrow therapeutic index and it can cause side effects such as thirst, weight gain, tremor, polyuria and memory problems. Although the mechanism for lithium action in treatment of bipolar disorder is still not fully understood, inhibition of inositol monophosphatase (IMPase) and the subsequent depletion of the inositol pool in living cells have been implicated as the primary therapeutic bene",2,National Center for Advancing Translational Sciences (NCATS),IMPE496,20100706,"119,138,178,199,239,248,249,253,275,286,289,304,305,366,408,471,525,535,546,547,564,610,636,650,681,698,750,774,785,787,846,847,864,896,903,912,932,938,1045,1046,1050,1054,1066,1072,1102,1103,1123,1150,1183,1214,1309,1316,1317,1318,1328,1329,1330,1331,1337,1340,1342,1346,1348,1354,1355,1359,1365,1366,1367,1370,1390,1400,1433,1449,1456,1474,1518,1533,1574,1598,1607,1609,1645,1647,1649,1663,1669,1676,1678,1681,1694,1697,1701,1720,1725,1727,1730,1734,1738,1742,1745,1748,1756,1774,1775,1779,1793,1794,1795,1797,","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842132,842133,842134,842135,842136,842137,842138,842139,842140,842141,842142,842143,842144,842145,842146,842147,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842160,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842176,842178,842179,842180,842181,842182,842183,842184,842185,842186,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,8",83523,NULL,P97697,Governmental Organizations|NIH Initiatives,"16864780,20161830",0,10.1073/pnas.0604348103|10.2174/1875397300801010070,"3.1.3.25,3.1.3.94",P97697,NULL
662,2,Cell signaling CRE-BLA (Fsk stim),"NIH Molecular Libraries Screening Centers Network [MLSCN]_|_NIH Chemical Genomics Center [NCGC]_|__|_MLSCN Grant: 1X01MH079867-01_|_Assay Provider: Marshall W. Nirenberg, U.S. National heart lung & blood institute_|__|_NCGC Assay Overview_|__|_Memories persist for different lengths of time, from seconds or minutes to a lifetime. There are two kinds of memory: short-term memory (STM) and long-term memory (LTM). STM lasts for minutes to hours, which maybe mediated by modifications of molecules involved in syn",2,National Center for Advancing Translational Sciences (NCATS),FSK-CRE,20070412,"11,13,51,66,108,119,138,174,177,178,180,196,199,227,239,240,241,243,244,248,249,261,263,286,289,299,300,305,311,323,335,339,370,379,398,403,447,460,500,525,527,535,546,547,564,612,650,660,681,700,701,702,713,750,753,774,785,787,795,864,887,896,903,904,912,931,938,949,957,967,978,991,992,995,996,1004,1017,1023,1030,1045,1046,1049,1052,1054,1057,1066,1102,1103,1123,1140,1150,1176,1183,1214,1309,1316,1317,1318,1328,1329,1330,1331,1337,1340,1342,1346,1348,1354,1355,1359,1365,1366,1367,1370,1390,1433,1449,1456,1","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842132,842133,842134,842135,842136,842137,842138,842139,842140,842141,842142,842143,842144,842145,842146,842147,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842158,842159,842160,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842175,842176,842177,842178,842179,842180,842181,842182,842183,842184,842185,842186,842187,842188,842189,842190,842191,842192,842193,8",NULL,NULL,NULL,Governmental Organizations|NIH Initiatives,NULL,0,NULL,NULL,NULL,NULL
880,2,qHTS Assay for Inhibitors of RGS12 GoLoco Motif Activity (Red Fluorophore),"Assay Submitter: Siderovski, David P, University of North Carolina at Chapel Hill_|_Screening Center PI: Austin, C.P._|_Screening Center: NIH Chemical Genomics Center [NCGC]_|_NIH Grant: NS053754-01_|__|_G-protein-coupled receptors (GPCRs) are major targets for drug discovery. The regulator of G-protein signaling (RGS)-protein family has important roles in GPCR signal transduction. RGS proteins contain a conserved RGS-box, which is often accompanied by other signaling regulatory elements. RGS proteins accel",2,National Center for Advancing Translational Sciences (NCATS),RGSP682,20090805,"11,13,51,66,72,108,119,174,177,178,180,185,187,190,191,196,199,204,205,206,224,227,239,240,241,243,244,253,261,263,275,289,298,299,300,304,311,323,335,338,339,342,359,366,370,379,398,401,403,408,412,447,453,460,462,464,471,500,525,527,535,546,547,564,588,594,595,596,607,610,612,636,650,660,681,698,700,701,702,710,713,727,736,750,753,774,785,795,803,827,830,836,846,847,853,863,864,866,876,887,892,896,903,904,912,914,931,932,936,938,949,957,967,978,985,991,992,995,996,999,1001,1004,1017,1018,1023,1030,1046,10","842121,842122,842123,842124,842125,842126,842127,842128,842130,842131,842132,842133,842134,842135,842136,842137,842138,842139,842140,842141,842142,842143,842144,842145,842146,842147,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842160,842161,842162,842163,842164,842166,842167,842168,842169,842171,842172,842173,842174,842176,842178,842179,842180,842181,842182,842183,842184,842185,842186,842187,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,842199,842201,8","2770,6002",NULL,"AAC39835,NP_002060",Governmental Organizations|NIH Initiatives,"12120503,15313559,16864780,18537560",0,10.1016/s0076-6879(04)89004-9|10.1038/nrd747|10.1073/pnas.0604348103|10.2174/138620708784534770,NULL,"AAC39835,P63096",NULL
912,2,qHTS Assay for Anthrax Lethal Toxin Internalization,"NIH Molecular Libraries Screening Centers Network [MLSCN]_|_NIH Chemical Genomics Center [NCGC]_|__|_MLSCN Grant: 1 X01 MH082337-01_|_PI Name:  Dr. Thomas Bugge_|__|_NCGC Assay Overview:_|__|_Lethal factor (LF, 83 kDa), edema factor (98 kDa) and protective antigen (PA, 83 kDa) are lethal toxins produced by bacillus anthracis, a Gram-positive and spore-forming bacterium responsible for anthrax. While LF and EF contribute the cytotoxic activity of anthrax bacteria, PA is required for internalization of LF an ",2,National Center for Advancing Translational Sciences (NCATS),ANTX642,20100712,"11,13,51,66,108,119,138,174,177,178,180,196,199,227,239,240,241,243,244,248,249,261,263,286,289,299,300,305,311,323,335,339,370,379,398,403,447,460,500,525,527,535,546,547,564,612,650,660,681,700,701,702,713,750,753,774,785,787,795,864,887,896,903,904,912,931,938,949,957,967,978,991,992,995,996,1004,1017,1023,1030,1045,1046,1049,1052,1054,1057,1066,1102,1103,1123,1140,1150,1176,1183,1214,1309,1316,1317,1318,1328,1329,1330,1331,1337,1340,1342,1346,1348,1354,1355,1359,1365,1366,1367,1370,1390,1433,1449,1456,1","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842132,842133,842134,842135,842136,842137,842138,842139,842140,842141,842142,842143,842144,842145,842146,842147,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842158,842159,842160,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842175,842176,842177,842178,842179,842180,842181,842182,842183,842184,842185,842186,842187,842188,842189,842190,842191,842192,842193,8",NULL,NULL,NP_652928,Governmental Organizations|NIH Initiatives,"16444249,16554829,16864780,19540764",0,10.1016/j.bmc.2009.05.054|10.1038/ng0206-137|10.1038/nmeth862|10.1073/pnas.0604348103,NULL,NP_652928,NULL
940,1,Modulators of the EP2 prostaglandin E2 receptor - Primary Screening,"NIH Molecular Libraries Screening Centers Network [MLSCN]_|_Emory Chemical Biology Discovery Center in MLSCN_|_Assay provider: Dr. Raymond Dingledine, Emory University_|_MLSCN Grant: 5-U01NS058158-02_|__|_Assay Overview:_|_Injury of the brain is a major cause of death and morbidity after the prolonged seizures termed status epilepticus (SE). Studies in rodents have demonstrated that cyclooxygenase 2 (COX2) activation by ischemia and SE generally contributes to neuronal injury, but multiple downstream COX2 s",16,Emory University Molecular Libraries Screening Center,Modulators of the EP2 prostaglandin E2 receptor - Primary Screening,20081030,"51,72,108,119,178,190,191,204,253,289,298,323,338,339,366,370,401,471,500,525,535,546,547,564,588,607,650,681,727,774,785,803,827,830,846,864,896,903,904,914,932,936,938,992,1023,1046,1047,1052,1066,1123,1148,1150,1176,1201,1209,1216,1222,1228,1232,1233,1239,1242,1245,1256,1317,1318,1328,1329,1330,1340,1345,1359,1365,1367,1390,1400,1456,1474,1480,1482,1486,1487,1488,1489,1490,1492,1493,1539,1564,1598,1607,1609,1639,1641,1645,1646,1649,1676,1678,1683,1688,1720,1727,1730,1732,1738,1742,1752,1756,1774,1775,177","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842132,842133,842134,842135,842136,842137,842138,842139,842140,842141,842142,842143,842144,842145,842146,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842160,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842173,842174,842176,842178,842179,842180,842181,842182,842183,842184,842185,842186,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,8",5732,NULL,NP_000947,Legacy Depositors|NIH Initiatives,"12821374,15191797",0,10.1016/j.expneurol.2004.03.019|10.1016/s0014-4886(03)00086-4,NULL,P43116,NULL
781,1,uHTS for 14-3-3/Bad interaction inhibitors,"Ultra-High Throughput Screening for 14-3-3/Bad interaction inhibitors_|_NIH Molecular Libraries Screening Centers Network [MLSCN]_|_Emory Chemical Biology Discovery Center in MLSCN_|_Assay provider: Dr. Haian Fu, Emory University_|_MLSCN Grant: 1R03MH76385-1_|__|_Assay Overview_|__|_14-3-3 proteins are a family of phosphoserine/threonine binding proteins, which consists of seven isoforms in mammalian cells (Fu et al, Ann Rev of Pharm & Tox  40:617-47; 2000).  These isoforms are encoded by genes in different",16,Emory University Molecular Libraries Screening Center,uHTS for 14-3-3/Bad interaction inhibitors,20070723,"72,119,191,204,253,298,323,338,366,525,546,547,774,803,864,932,936,938,1046,1047,1150,1201,1318,1329,1345,1367,1400,1474,1492,1539,1646,1676,1688,1727,1738,1775,1780,1820,1832,1833,1853,1882,1892,1893,1922,1967,1981,1985,1986,2000,2002,2007,2015,2018,2082,2092,2108,2118,2123,2125,2153,2159,2161,2170,2181,2187,2196,2197,2247,2249,2256,2265,2266,2303,2315,2331,2333,2343,2348,2375,2378,2391,2406,2435,2466,2471,2480,2482,2519,2554,2576,2585,2690,2692,2708,2720,2722,2727,2732,2733,2754,2756,2762,2771,2788,2804,2","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842132,842133,842134,842135,842136,842137,842138,842139,842140,842141,842142,842143,842144,842145,842146,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842160,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842173,842174,842176,842178,842179,842180,842181,842182,842183,842184,842185,842186,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,8",287022,NULL,NP_777239,Legacy Depositors|NIH Initiatives,"10836149,11723239,8460141",0,10.1073/pnas.90.6.2320|10.1124/mol.60.6.1325|10.1146/annurev.pharmtox.40.1.617,NULL,P63103,NULL
782,1,uHTS for Small Molecule Inhibitors of Eukaryotic Translation Initiation,"Screening for Small Molecule Inhibitors of Eukaryotic Translation Initiation_|__|_NIH Molecular Libraries Screening Centers Network [MLSCN]_|_Emory Chemical Biology Discovery Center in MLSCN_|_Assay provider: Dr. Jerry Pelletier, McGill UNIVERSITY_|_MLSCN Grant: 1 R03 MH081216-01_|__|_Title: uHTS for Small Molecule Inhibitors of Eukaryotic Translation Initiation_|__|_Assay Overview_|_The recruitment of the 40S ribosomal subunit and associated factors (43S pre-initiation_|_complex) to the mRNA during transla",16,Emory University Molecular Libraries Screening Center,uHTS for Small Molecule Inhibitors of Eukaryotic Translation Initiation,20110304,"72,119,191,204,253,298,323,338,366,525,546,547,774,803,864,932,936,938,1046,1047,1150,1201,1318,1329,1345,1367,1400,1474,1492,1539,1646,1676,1688,1727,1738,1775,1780,1820,1832,1833,1853,1882,1892,1893,1922,1967,1981,1985,1986,2000,2002,2007,2015,2018,2082,2092,2108,2118,2123,2125,2153,2159,2161,2170,2181,2187,2196,2197,2247,2249,2256,2265,2266,2303,2315,2331,2333,2343,2348,2375,2378,2391,2406,2435,2466,2471,2480,2482,2519,2554,2576,2585,2690,2692,2708,2720,2722,2727,2732,2733,2754,2756,2762,2771,2788,2804,2","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842132,842133,842134,842135,842136,842137,842138,842139,842140,842141,842142,842143,842144,842145,842146,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842159,842160,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842173,842174,842176,842178,842179,842180,842181,842182,842183,842184,842185,842186,842187,842188,842189,842190,842191,842192,842193,842194,842195,842196,842197,842198,8","1981,13684",NULL,"NP_004944,NP_031943",Legacy Depositors|NIH Initiatives,"10394359,10872469,9124320,9268293",0,10.1016/s1097-2765(01)80003-4|10.1074/jbc.272.35.21677|10.1146/annurev.biochem.68.1.913|10.1152/ajpcell.1997.272.2.c754,NULL,"P63073,Q04637",NULL
926,2,qHTS Assay for Agonists of the Thyroid Stimulating Hormone Receptor,"NIH Chemical Genomics Center [NCGC]_|_NIH Molecular Libraries Screening Centers Network [MLSCN]_|_MLSCN Grant: 1 X01 MH080680-01_|_PI Name: Dr. Marvin Gershengorn, NIH_|__|_NCGC Assay Overview:_|__|_Thyroid Stimulating Hormone Receptor _|__|_TSH is an alpha/beta heterodimeric glycoprotein hormone secreted from the anterior pituitary gland which belongs to the glycoprotein hormone family. The actions of TSH are mediated by a seven-transmembrane receptor, which upon TSH binding couples preferentially to the G",2,National Center for Advancing Translational Sciences (NCATS),TSHR742,20100706,"11,13,51,66,108,119,138,174,177,178,180,196,199,227,239,240,241,243,244,248,249,261,263,286,289,299,300,305,311,323,335,339,370,379,398,403,447,460,500,525,527,535,546,547,564,612,650,660,681,700,701,702,713,750,753,774,785,787,795,864,887,896,903,904,912,931,936,938,949,957,967,978,991,992,995,996,1004,1017,1023,1030,1045,1046,1047,1049,1052,1054,1057,1066,1102,1103,1123,1140,1150,1176,1183,1199,1214,1309,1316,1317,1318,1328,1329,1330,1331,1337,1340,1342,1346,1348,1354,1355,1359,1365,1366,1367,1370,1390,14","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842132,842133,842134,842135,842136,842137,842138,842139,842140,842141,842142,842143,842144,842145,842146,842147,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842158,842159,842160,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842175,842176,842177,842178,842179,842180,842181,842182,842183,842184,842185,842186,842187,842188,842189,842190,842191,842192,842193,8",7253,NULL,AAR07906,Governmental Organizations|NIH Initiatives,"16488885,16864780,18216391,18669595,19592511,20427476",0,10.1073/pnas.0604348103|10.1073/pnas.0904506106|10.1074/jbc.c600014200|10.1177/1087057107313786|10.1210/en.2008-0836|10.1210/en.2010-0199,NULL,P16473,NULL
902,2,qHTS Screen for Compounds that Selectively Target Cancer Cells with p53 Mutations: Cytotoxicity of p53ts Cells at the Nonpermissive Temperature,"NIH Chemical Genomics Center [NCGC]_|_NIH Molecular Libraries Screening Centers Network [MLSCN]_|__|_MLSCN Grant: 1 X01 MH079844-01_|_Assay Submitter (PI): Dr. SUN, YI, University of Michigan_|__|_NCGC Assay Overview:_|__|_Synthetic Lethal Screen for Compounds to Kill Cancer Cells with p53 Mutation. _|__|_Tumor suppressor gene p53 serves as a major cellular barrier against tumorigenesis. It has been reported that p53 mutations occurs in half of all tumors, and the other half possess alterations in the p53 p",2,National Center for Advancing Translational Sciences (NCATS),P53T796.2,20100706,"11,13,51,66,108,119,138,174,177,178,180,185,190,191,196,199,204,224,227,239,240,241,243,244,248,249,253,261,263,275,286,289,298,299,300,304,305,311,323,335,339,370,379,398,401,403,408,447,460,471,500,525,527,535,546,547,564,588,596,607,610,612,636,650,660,681,698,700,701,702,713,727,736,750,753,774,785,787,795,827,830,836,846,847,853,864,887,896,903,904,912,914,931,932,936,938,949,957,967,978,991,992,995,996,1004,1017,1023,1030,1045,1046,1047,1049,1050,1052,1054,1057,1064,1066,1072,1102,1103,1123,1140,1148,","842121,842122,842123,842124,842125,842126,842127,842128,842129,842130,842131,842132,842133,842134,842135,842136,842137,842138,842139,842140,842141,842142,842143,842144,842145,842146,842147,842148,842149,842150,842151,842152,842153,842154,842155,842156,842157,842158,842159,842160,842161,842162,842163,842164,842165,842166,842167,842168,842169,842170,842171,842172,842173,842174,842175,842176,842177,842178,842179,842180,842181,842182,842183,842184,842185,842186,842187,842188,842189,842190,842191,842192,842193,8",7157,Toxicity,NP_000537,Governmental Organizations|NIH Initiatives,"16652354,16864780,19679550",0,10.1002/mc.20231|10.1073/pnas.0604348103|10.1158/0008-5472.can-09-0891,NULL,P04637,NULL
