Thu Feb  4 17:07:48 CET 2021
     AID	AUC-Sc	BalAcc	MatCff	Sensit	Specif
    1030	0.3771	0.4264	-0.1106	0.2744	0.5783
    1458	0.5042	0.4812	-0.0258	0.1379	0.8244
    1529	0.4945	0.4935	-0.0079	0.0403	0.9468
    1531	0.6496	0.6402	0.1038	0.3966	0.8838
    1578	0.7770	0.7178	0.2015	0.5205	0.9150
    1688	0.6427	0.6027	0.0980	0.3097	0.8958
    1822	0.6010	0.5459	0.0509	0.1500	0.9418
    2098	0.4741	0.4880	-0.0103	0.0758	0.9002
    2156	0.5320	0.5301	0.0204	0.2534	0.8069
    2216	0.5729	0.5220	0.0215	0.1364	0.9076
    2330	0.8221	0.7958	0.4953	0.6535	0.9381
    2540	0.5755	0.5093	0.0070	0.1417	0.8768
    2553	0.5892	0.5604	0.0343	0.3303	0.7904
    2599	0.5550	0.5171	0.0161	0.1790	0.8552
    2642	0.6114	0.5378	0.0379	0.1795	0.8960
    2796	0.5411	0.5185	0.0216	0.1739	0.8631
  485270	0.5590	0.5240	0.0225	0.1640	0.8840
  485313	0.5260	0.5010	0.0014	0.1242	0.8777
  485314	0.4954	0.4968	-0.0026	0.1462	0.8474
  504333	0.5212	0.5136	0.0240	0.1231	0.9042
  504444	0.7626	0.6778	0.2041	0.5092	0.8464
  504466	0.4969	0.4854	-0.0165	0.0965	0.8743
  504582	0.5660	0.5226	0.0128	0.2545	0.7906
  504652	0.5079	0.5014	0.0012	0.3160	0.6869
  504660	0.5790	0.5507	0.0470	0.1760	0.9253
  504847	0.5544	0.5532	0.0329	0.3287	0.7778
  588334	0.5458	0.5124	0.0080	0.2556	0.7691
  588458	0.5107	0.4991	-0.0005	0.1538	0.8444
  588852	0.6067	0.5672	0.0430	0.2992	0.8353
  588855	0.8076	0.7424	0.2179	0.5839	0.9009
  602340	0.6750	0.5423	0.0157	0.2647	0.8198
  624202	0.5536	0.4985	-0.0015	0.1181	0.8788
  624256	0.5989	0.5455	0.0405	0.1765	0.9146
  624296	0.7932	0.7238	0.3490	0.5313	0.9162
  624297	0.8382	0.7875	0.3813	0.6356	0.9393
  624466	0.6063	0.5643	0.0581	0.2312	0.8974
  651610	0.6093	0.6180	0.0650	0.4306	0.8055
  651635	0.8541	0.8227	0.2907	0.7167	0.9287
  651658	0.5810	0.5707	0.0388	0.2756	0.8657
  651744	0.7433	0.6962	0.4019	0.5931	0.7993
  720504	0.5030	0.4915	-0.0091	0.1475	0.8355
  720532	0.8672	0.8097	0.6015	0.6860	0.9335
  720582	0.6843	0.6522	0.1000	0.4463	0.8581
  720635	0.6515	0.6286	0.3053	0.3647	0.8925
  720648	0.5851	0.5754	0.0464	0.3280	0.8229
  743012	0.7976	0.7276	0.4937	0.5594	0.8958
  743014	0.8153	0.7342	0.5329	0.5323	0.9362
  743015	0.7808	0.7088	0.4716	0.5035	0.9142
     777	0.5924	0.5430	0.1091	0.1965	0.8894
     894	0.5070	0.4850	-0.0197	0.1419	0.8281
     932	0.5089	0.5090	0.0139	0.1262	0.8919
     938	0.5871	0.5329	0.0377	0.2903	0.7755
