AID	Adipgen	Ang-gen	C-Grwth	C-Death	Im-Resp	Prteom	Genome	Inflamm	Snscnce	Mei/Mit	C-Stres	Signall	CNS/NDD	C-Entry	Mitotox	A-Cancr	Orgnsm	Tissue	Orgnll	Target
1030	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	HS	none	none	ALDH1A1
1458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HS	HEK293	none	SMN2
1529	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	HS	vitro	none	MEKK3
1531	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	HS	vitro	none	MEKK2
1578	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	HS	HEK293	none	NOD1
1688	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	HS	PC12	none	Huntingtin
1822	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	PF3D7	Blood	none	M18AAP
2098	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	MM	NIH3T3	none	HSF-1
2156	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	RN	CHO-K1	membrn	KCNQ2
2216	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	None	Plasmid	Nucls	Ran-Importin-b-cmplx
2330	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	HS	NOMO-1	none	STK33
2540	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	HS	vitro	none	SENP8
2553	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	MM	HEK293	membrn	TRPC6
2599	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	HS	vitro	none	SENP6
2642	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	HS	CHO-K1	none	KCNQ1
2796	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	HS	HG2L6	none	preAHR
485270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HS	CHO	none	OX1R
485313	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HS	Huh7	none	NPC1Protein
485314	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	HS	none	none	POLB
504333	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	HS	none	none	BAZ2B(beware)
504444	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	HS	A549	none	Nrf2
504466	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	HS	HEK293	none	ELG1
504582	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	PF	E0550C	none	HSP40
504652	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	HS	none	none	D1ADopamine
504660	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	HS	none	none	D1ADopamine
504847	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	HS	none	none	VDR
588334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	none	none	none	none
588458	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	HS	none	none	DNMT1
588852	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	HS	none	none	CHRM1
588855	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	HS	none	none	Smad3
602340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	MM	C2C12	none	none
624202	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	HS	MCF-7	none	none
624256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	HS	none	none	none
624296	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	HS	MCF10a	none	geminine
624297	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	1	HS	SW480	none	geminine
624466	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	HS	RDHGA16	none	TAAR1
651610	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	HIV	CEM21	none	Invasion
651635	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	HS	none	none	ATXN2
651658	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	HS-rec	none	none	FGF22
651744	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	MM	NIH3T3	none	toxicity
720504	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	HS	vitro	none	PLK1
720532	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	MV	HEK293	none	g4so
720582	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	HS	vitro	none	ADAM10
720635	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	HS	HepG2	none	MMP
720648	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	HS	vitro	none	ADAM17
743012	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	GG	DT40wt	none	genotox
743014	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	GG	DT40	mutRev3	genotox
743015	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	GG	DT40	mutKu70	genotox
777	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	HS	vitro	none	CYP2C9
894	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	HS	vitro	none	HPGD
932	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	HS	NIH3T3	none	STAT1
938	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	HS	HEK293	none	TSHReceptor
